,WHITE_POP,TOTAL_POP,BLACK_POP,HOUSING_UNITS,POP_UNDER_20,POP_25_34,POP_35_44,POP_45_54,POP_55_65,POP_65_74,POP_75_UP,INC_UNDER_35,INC_34_49,INC_75_100,INC_100_150,INC_150_UP,Days_Since_500,Days_Since_100,Confirmed,Percent
count,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0
mean,0.7069360017776489,780803.3125,0.14942923188209534,314540.78125,198621.125,115371.5,102858.09375,104752.59375,96307.25,63271.91796875,46206.79296875,18.433332443237305,10.433794021606445,16.530132293701172,19.298179626464844,21.362106323242188,6.009132385253906,16.269407272338867,1688.8858642578125,2.811999559402466
std,0.15506824851036072,964016.0625,0.14231669902801514,360235.09375,247884.09375,154377.140625,132348.140625,128522.3515625,112276.296875,72235.546875,55393.30078125,6.960191249847412,2.6245226860046387,2.9553260803222656,3.330742835998535,9.971435546875,6.832861423492432,4.82591438293457,5966.908203125,1.730181097984314
min,0.17100000381469727,21994.0,0.004000000189989805,11058.0,5515.0,2132.0,2784.0,3147.0,3547.0,2271.0,1227.0,5.400000095367432,4.199999809265137,8.699999809265137,10.300000190734863,4.199999809265137,0.0,6.0,201.0,0.0
25%,0.6164999902248383,309349.5,0.04900000058114529,127968.5,76468.5,40189.0,38029.5,42306.5,40254.0,26164.5,17733.5,13.25,8.5,14.849999904632568,16.75,13.849999904632568,0.0,13.0,288.0,1.4940717220306396
50%,0.734000027179718,555133.0,0.10499999672174454,222589.0,142638.0,72670.0,72293.0,76447.0,70557.0,47035.0,32202.0,17.799999237060547,10.800000190734863,16.799999237060547,19.600000381469727,19.399999618530273,3.0,16.0,479.0,2.4955437183380127
75%,0.8159999847412109,904250.0,0.2070000022649765,365301.5,226364.0,130300.0,117227.5,120809.0,114160.5,71201.5,54572.0,23.25,12.399999618530273,18.84999942779541,21.600000381469727,26.949999809265137,10.0,19.0,1111.0,3.635807156562805
max,0.9509999752044678,10098052.0,0.6919999718666077,3524321.0,2514147.0,1609935.0,1387454.0,1369838.0,1178985.0,734393.0,564884.0,39.79999923706055,17.100000381469727,21.799999237060547,26.899999618530273,51.599998474121094,26.0,33.0,81803.0,9.180327415466309
