,NAME,WHITE_POP,BLACK_POP,HISPANIC_POP,ASIAN_POP,TOTAL_POP,HOUSING_UNITS,POP_UNDER_5,POP_5_9,POP_10_14,POP_15_19,state,county
575,"Kenedy County, Texas",96.3,0.0,595,0.2,595,303,85,37,40,10,48,261
576,"Nueces County, Texas",89.9,3.8,360486,2.0,360486,148168,24665,25055,24806,25524,48,355
577,"Colorado County, Texas",73.6,12.7,21022,0.0,21022,10638,1363,1288,1493,1397,48,089
578,"San Patricio County, Texas",92.4,1.7,67046,1.0,67046,27834,4947,4887,5259,4824,48,409
579,"Rains County, Texas",90.4,2.8,11473,0.1,11473,5369,566,652,697,578,48,379
580,"Randall County, Texas",89.5,2.9,132475,1.6,132475,54389,8654,9438,8475,9750,48,381
581,"Real County, Texas",99.0,0.1,3389,0.1,3389,2734,228,193,121,217,48,385
582,"San Saba County, Texas",85.6,2.4,5962,0.1,5962,3175,315,239,455,273,48,411
583,"Schleicher County, Texas",61.1,0.4,3061,0.0,3061,1498,187,252,273,174,48,413
584,"Sterling County, Texas",90.9,0.3,1141,0.0,1141,604,69,109,63,94,48,431
585,"Zavala County, Texas",93.6,0.5,12131,0.0,12131,4344,925,1115,977,783,48,507
586,"Calhoun County, Texas",86.7,2.6,21807,4.7,21807,11927,1488,1533,1503,1580,48,057
587,"Carson County, Texas",94.7,1.3,6032,0.5,6032,2793,365,435,455,465,48,065
588,"Foard County, Texas",86.1,1.8,1408,0.0,1408,890,62,65,87,100,48,155
589,"Freestone County, Texas",81.0,15.9,19709,0.7,19709,9413,1153,1358,1204,1188,48,161
590,"Goliad County, Texas",78.6,5.1,7531,0.6,7531,3765,312,526,530,395,48,175
591,"Hamilton County, Texas",94.9,0.5,8269,0.3,8269,4574,469,502,454,513,48,193
592,"Hardeman County, Texas",86.3,7.1,3952,0.0,3952,2296,196,291,307,199,48,197
593,"Mitchell County, Texas",78.9,11.0,8558,0.4,8558,4075,446,474,401,486,48,335
594,"Briscoe County, Texas",85.3,2.5,1546,0.0,1546,991,82,67,74,93,48,045
595,"Lavaca County, Texas",78.5,6.5,19941,0.4,19941,10427,1189,1405,1388,1193,48,285
596,"Terry County, Texas",89.0,5.1,12615,0.0,12615,4861,1008,1006,928,913,48,445
597,"Jeff Davis County, Texas",94.7,0.8,2234,2.3,2234,1861,61,108,160,142,48,243
598,"Jim Hogg County, Texas",98.9,0.1,5282,0.0,5282,2523,412,366,514,539,48,247
599,"Montgomery County, Texas",86.5,4.7,554445,2.8,554445,210326,37835,41459,42853,38640,48,339
600,"Dallam County, Texas",91.6,0.9,7243,1.5,7243,2934,692,634,663,581,48,111
601,"Webb County, Texas",95.4,0.4,272053,0.5,272053,81596,26546,23862,25976,24233,48,479
602,"Armstrong County, Texas",95.5,0.4,1916,0.0,1916,932,121,94,106,100,48,011
603,"Castro County, Texas",90.9,0.9,7787,1.2,7787,3174,604,765,574,595,48,069
604,"Kleberg County, Texas",87.7,3.3,31425,2.2,31425,13284,2222,2295,1915,2953,48,273
605,"Willacy County, Texas",96.0,0.7,21754,0.0,21754,7285,1398,1390,1621,1734,48,489
606,"Crosby County, Texas",89.3,4.1,5861,0.2,5861,2901,400,393,534,454,48,107
607,"Fisher County, Texas",89.3,2.9,3883,0.6,3883,2216,262,183,206,256,48,151
608,"Duval County, Texas",87.0,1.7,11355,0.0,11355,5592,813,709,1016,633,48,131
609,"Blanco County, Texas",90.2,0.5,11279,1.5,11279,5791,461,572,605,685,48,031
610,"Jasper County, Texas",77.9,16.5,35504,0.5,35504,17147,2119,2373,2648,2238,48,241
611,"Kinney County, Texas",96.7,0.1,3675,0.0,3675,1890,87,152,283,190,48,271
612,"Deaf Smith County, Texas",89.4,1.0,18899,0.5,18899,7051,1663,1579,1746,1510,48,117
613,"Galveston County, Texas",78.2,12.6,327089,3.3,327089,144204,21173,21795,23438,22157,48,167
614,"La Salle County, Texas",77.8,1.4,7409,0.2,7409,2977,508,532,287,418,48,283
615,"Roberts County, Texas",95.4,0.0,885,0.9,885,411,32,50,109,99,48,393
616,"Tyler County, Texas",84.0,11.4,21496,0.3,21496,10777,1069,1131,1143,1408,48,457
617,"Wheeler County, Texas",87.9,2.9,5482,0.1,5482,2715,382,438,392,305,48,483
618,"Bowie County, Texas",68.9,24.6,93858,1.1,93858,39642,6060,6076,6476,5542,48,037
619,"Brewster County, Texas",92.3,0.2,9216,1.7,9216,5500,487,507,529,418,48,043
620,"Kent County, Texas",88.5,1.1,749,0.0,749,543,33,53,34,61,48,263
621,"Smith County, Texas",76.8,17.5,225015,1.7,225015,89766,15496,15209,15695,15854,48,423
622,"Crockett County, Texas",41.8,0.9,3633,0.0,3633,1816,303,321,209,305,48,105
623,"Hardin County, Texas",91.6,5.7,56379,0.6,56379,24345,3739,3620,4188,3784,48,199
624,"Howard County, Texas",82.3,6.2,36667,0.8,36667,13148,2309,2132,2324,2260,48,227
625,"Leon County, Texas",88.8,7.2,17098,0.8,17098,9715,1075,1143,1039,1039,48,289
626,"Montague County, Texas",94.8,0.6,19409,0.0,19409,10259,1108,1305,1328,1083,48,337
627,"Panola County, Texas",81.0,17.2,23440,0.2,23440,11145,1430,1282,1903,1628,48,365
628,"Millard County, Utah",88.1,0.0,12733,0.9,12733,5049,1013,1084,1207,947,49,027
629,"Washington County, Utah",90.9,0.7,160537,0.8,160537,66604,11262,12716,12265,11579,49,053
630,"Kane County, Utah",93.2,0.4,7350,0.7,7350,5989,416,455,460,588,49,025
631,"Grand County, Utah",92.9,0.5,9616,1.9,9616,5329,503,571,618,527,49,019
632,"Rich County, Utah",97.1,0.0,2350,0.0,2350,3043,175,293,235,200,49,033
633,"Wasatch County, Utah",94.9,0.3,30523,1.3,30523,12715,2393,3012,2798,2370,49,051
634,"Box Elder County, Utah",93.1,0.6,53001,0.8,53001,18598,4484,5353,4488,4184,49,003
635,"Iron County, Utah",91.0,0.5,49691,0.7,49691,20807,4110,4146,3847,4359,49,021
636,"Sevier County, Utah",94.4,0.7,21118,0.1,21118,8747,1497,1855,1873,1680,49,041
637,"Weber County, Utah",89.1,1.1,247731,1.1,247731,90610,19519,19767,20426,17776,49,057
638,"Duchesne County, Utah",89.7,0.5,20219,0.5,20219,10168,1999,1857,1989,1521,49,013
639,"San Juan County, Utah",48.3,0.2,15281,0.4,15281,5963,1214,1339,1446,1445,49,037
640,"Salt Lake County, Utah",79.2,1.8,1120805,4.0,1120805,390308,87490,88542,85969,77361,49,035
641,"Uintah County, Utah",88.0,0.6,36323,0.4,36323,13617,3403,3862,3221,2615,49,047
642,"Daggett County, Utah",95.6,0.2,612,0.0,612,1235,25,32,50,36,49,009
643,"Davis County, Utah",90.0,1.3,340621,1.8,340621,107180,30061,32037,31867,26629,49,011
644,"Wayne County, Utah",96.0,0.3,2694,0.5,2694,1668,155,156,244,232,49,055
645,"Carbon County, Utah",92.3,0.7,20356,0.4,20356,9787,1328,1556,1536,1650,49,007
646,"Emery County, Utah",97.5,0.2,10248,0.6,10248,4604,693,1002,897,812,49,015
647,"Morgan County, Utah",96.6,0.7,11391,1.0,11391,3492,990,1029,1325,989,49,029
648,"Cache County, Utah",90.2,0.8,122336,2.0,122336,40640,10915,10442,10420,11144,49,005
649,"Garfield County, Utah",93.7,0.2,5017,0.1,5017,3907,298,324,346,400,49,017
650,"Juab County, Utah",93.8,0.2,10948,0.2,10948,3701,961,1205,986,989,49,023
651,"Rutland County, Vermont",96.6,0.9,59273,1.0,59273,34332,2602,2700,3204,4020,50,021
652,"Orleans County, Vermont",96.4,0.4,26911,0.2,26911,17304,1345,1385,1589,1497,50,019
653,"Grand Isle County, Vermont",94.5,0.8,6965,0.5,6965,5247,291,352,340,396,50,013
654,"Orange County, Vermont",96.7,0.6,28937,0.2,28937,15346,1374,1517,1535,1755,50,017
655,"Chittenden County, Vermont",90.5,2.5,162052,4.2,162052,69058,7687,7785,8489,13831,50,007
656,"Lamoille County, Vermont",95.8,1.0,25268,0.6,25268,13553,1330,1472,1575,1604,50,015
657,"Windsor County, Vermont",95.8,0.7,55427,0.8,55427,34758,2506,2932,2899,2900,50,027
658,"Caledonia County, Vermont",96.1,1.1,30425,0.7,30425,16328,1431,1613,1828,2093,50,005
659,"Windham County, Vermont",94.7,1.2,43150,1.1,43150,30425,1943,2353,2084,2521,50,025
660,"Addison County, Vermont",94.2,1.3,36939,1.9,36939,17336,1544,1735,1912,3096,50,001
661,"Washington County, Vermont",95.9,0.8,58477,0.8,58477,30624,2803,3049,3374,3757,50,023
662,"Tazewell County, Virginia",94.7,3.2,42080,0.6,42080,20770,2137,2444,2071,2332,51,185
663,"Falls Church city, Virginia",80.2,4.8,14067,10.1,14067,5901,827,1094,1055,908,51,610
664,"Manassas Park city, Virginia",63.6,15.2,16423,10.8,16423,4884,935,1548,990,1200,51,685
665,"Poquoson city, Virginia",94.3,1.2,12039,2.0,12039,4785,509,658,913,791,51,735
666,"Sussex County, Virginia",39.5,56.5,11486,0.4,11486,4768,483,441,517,412,51,183
667,"Waynesboro city, Virginia",81.3,14.1,21926,0.9,21926,10013,1406,1678,1369,1133,51,820
668,"Roanoke city, Virginia",62.5,28.7,99621,3.1,99621,47056,6904,6446,5396,4976,51,770
669,"Salem city, Virginia",87.3,7.0,25519,1.8,25519,10852,1471,1354,1172,2118,51,775
670,"Norfolk city, Virginia",47.0,41.6,245592,3.7,245592,97257,16390,13488,12339,15536,51,710
671,"Charlotte County, Virginia",68.8,29.0,12095,0.4,12095,6338,715,597,757,853,51,037
672,"Fairfax County, Virginia",62.0,9.7,1143529,19.0,1143529,412574,74030,76674,74307,72430,51,059
673,"Greensville County, Virginia",37.9,59.7,11659,0.1,11659,4179,517,496,636,410,51,081
674,"James City County, Virginia",80.4,13.2,74153,2.4,74153,32838,3622,4017,4671,4581,51,095
675,"Russell County, Virginia",97.3,1.3,27408,0.0,27408,13537,1266,1119,1859,1539,51,167
676,"Smyth County, Virginia",95.7,2.4,31059,0.5,31059,15410,1472,1693,1807,1706,51,173
677,"Lexington city, Virginia",86.7,6.4,7110,3.7,7110,2312,154,115,161,1880,51,678
678,"Campbell County, Virginia",81.6,14.3,55170,0.8,55170,25754,2747,3174,2991,3183,51,031
679,"Henry County, Virginia",72.0,22.3,51588,0.7,51588,26223,2439,2863,2960,2776,51,089
680,"King George County, Virginia",77.7,16.3,25890,1.2,25890,9997,1605,1890,1972,1733,51,099
681,"Lancaster County, Virginia",68.2,30.7,10804,0.6,10804,7611,439,444,473,468,51,103
682,"Lee County, Virginia",93.4,4.3,24134,0.3,24134,11784,1123,1272,1340,1254,51,105
683,"Mathews County, Virginia",86.3,10.3,8796,0.3,8796,5745,317,184,450,569,51,115
684,"Middlesex County, Virginia",77.8,15.4,10700,0.2,10700,7311,332,593,491,473,51,119
685,"Prince George County, Virginia",58.5,32.2,37894,1.8,37894,12415,2107,2207,2482,2527,51,149
686,"Rockingham County, Virginia",93.7,2.5,79444,0.7,79444,35184,4400,4555,5495,5547,51,165
687,"Scott County, Virginia",98.0,0.7,22009,0.4,22009,11940,885,1018,1386,1209,51,169
688,"Surry County, Virginia",52.8,45.2,6600,0.2,6600,3561,287,312,337,427,51,181
689,"Appomattox County, Virginia",77.8,19.8,15577,0.2,15577,7264,887,917,903,1096,51,011
690,"Franklin County, Virginia",88.9,7.8,56233,0.4,56233,29847,2675,3169,2937,3626,51,067
691,"King and Queen County, Virginia",68.4,25.5,7052,0.0,7052,3497,332,382,400,331,51,097
692,"Montgomery County, Virginia",85.9,4.6,97997,6.6,97997,39918,4364,4132,4283,12060,51,121
693,"New Kent County, Virginia",81.5,11.4,21103,1.1,21103,8268,1140,1337,1192,1210,51,127
694,"Cumberland County, Virginia",63.4,32.2,9786,1.0,9786,4709,514,403,625,695,51,049
695,"Goochland County, Virginia",79.9,16.0,22482,1.3,22482,9177,835,1160,1278,1359,51,075
696,"Halifax County, Virginia",60.6,34.9,34779,0.8,34779,18199,1821,1863,2151,2081,51,083
697,"Madison County, Virginia",85.8,6.9,13139,0.8,13139,6053,538,803,891,778,51,113
698,"Prince William County, Virginia",57.7,20.7,456749,8.1,456749,147480,34605,35559,35129,31627,51,153
699,"Southampton County, Virginia",62.1,33.1,17939,0.2,17939,7592,857,918,1020,975,51,175
700,"Highland County, Virginia",99.5,0.0,2214,0.0,2214,2039,89,92,74,45,51,091
701,"Brunswick County, Virginia",41.8,54.7,16665,0.6,16665,8221,730,823,746,1026,51,025
702,"Caroline County, Virginia",65.8,27.9,30184,0.9,30184,12176,2136,2042,1803,1729,51,033
703,"Gloucester County, Virginia",87.9,8.3,37161,0.8,37161,16465,1951,1901,2212,2073,51,073
704,"Northampton County, Virginia",62.2,33.6,11957,0.9,11957,7397,672,531,818,581,51,131
705,"Patrick County, Virginia",92.3,5.7,17859,0.4,17859,10205,740,818,962,897,51,141
706,"Powhatan County, Virginia",86.5,10.9,28574,0.3,28574,10724,1240,1422,1463,1833,51,145
707,"Rockbridge County, Virginia",93.6,3.3,22509,0.7,22509,11403,1128,1144,1001,1188,51,163
708,"Shenandoah County, Virginia",93.9,2.0,43045,0.9,43045,21158,2448,2447,2639,2425,51,171
709,"Fauquier County, Virginia",86.9,7.3,69115,1.4,69115,26635,4036,3909,5233,4688,51,061
710,"Charles City County, Virginia",43.1,46.9,6995,0.4,6995,3353,280,252,356,348,51,036
711,"Culpeper County, Virginia",76.2,13.8,50450,1.4,50450,18499,3291,3349,3957,3448,51,047
712,"Dinwiddie County, Virginia",64.5,32.0,28308,0.7,28308,11715,1470,1690,1599,1850,51,053
713,"Greene County, Virginia",87.0,5.8,19410,1.5,19410,8185,1110,1576,1110,1296,51,079
714,"Hanover County, Virginia",86.6,9.1,104449,1.6,104449,40846,5200,6130,7410,7430,51,085
715,"Lunenburg County, Virginia",62.3,30.8,12278,3.2,12278,5984,599,686,608,574,51,111
716,"Orange County, Virginia",81.9,12.5,35612,1.0,35612,15061,2062,2077,2273,2261,51,137
717,"Emporia city, Virginia",25.7,69.7,5381,0.3,5381,2401,243,438,482,332,51,595
718,"Wythe County, Virginia",94.8,3.2,28940,0.4,28940,14317,1325,1629,1754,1612,51,197
719,"Chesapeake city, Virginia",61.4,29.9,237820,3.3,237820,89882,15066,16381,15929,16092,51,550
720,"Harrisonburg city, Virginia",81.1,7.4,53391,4.0,53391,18186,2830,2472,2248,8992,51,660
721,"Albemarle County, Virginia",81.6,9.8,106355,5.3,106355,44886,5691,6073,6128,9640,51,003
722,"Bedford County, Virginia",89.6,6.8,77908,1.4,77908,36565,3676,4315,4603,4781,51,019
723,"Botetourt County, Virginia",93.6,3.0,33222,0.8,33222,14814,1411,1618,2143,2110,51,023
724,"Wise County, Virginia",92.2,5.7,39025,0.4,39025,17957,2013,2331,2042,2344,51,195
725,"Bristol city, Virginia",87.9,7.1,16843,0.1,16843,8737,869,1028,990,980,51,520
726,"Portsmouth city, Virginia",40.2,52.7,95311,1.3,95311,40895,7137,6272,5693,5274,51,740
727,"Williamsburg city, Virginia",74.5,14.0,14788,6.5,14788,5194,495,430,392,2847,51,830
728,"Alleghany County, Virginia",92.0,5.4,15286,0.1,15286,8034,679,839,794,933,51,005
729,"Carroll County, Virginia",97.4,0.5,29738,0.1,29738,16741,1440,1340,1756,1647,51,035
730,"Washington County, Virginia",96.2,1.4,54406,0.5,54406,25933,2300,3012,2941,3270,51,191
731,"Northumberland County, Virginia",70.3,27.5,12223,0.2,12223,9239,357,693,487,465,51,133
732,"Page County, Virginia",95.5,1.5,23749,0.4,23749,11719,1107,1229,1607,1312,51,139
733,"Warren County, Virginia",89.9,3.8,39449,1.1,39449,16277,2374,2482,2312,2606,51,187
734,"Alexandria city, Virginia",62.0,21.9,156505,6.1,156505,76105,11372,7698,6117,5258,51,510
735,"Fredericksburg city, Virginia",62.6,22.2,28469,2.3,28469,11589,2046,1529,1551,2453,51,630
736,"Hampton city, Virginia",41.4,50.2,135583,2.6,135583,60124,8306,7178,8673,8907,51,650
737,"Arlington County, Virginia",71.4,9.0,231803,10.4,231803,113084,13912,11667,9884,8403,51,013
738,"Hopewell city, Virginia",51.0,42.3,22408,1.4,22408,10275,1672,1661,1545,1398,51,670
739,"Buchanan County, Virginia",95.2,2.9,22138,0.8,22138,11584,905,1098,1191,1176,51,027
740,"Frederick County, Virginia",91.0,4.1,85153,1.3,85153,33594,5124,5515,5598,5396,51,069
741,"Stafford County, Virginia",68.0,17.3,144012,3.4,144012,48330,9236,10129,11548,10908,51,179
742,"York County, Virginia",75.5,13.0,67587,5.6,67587,27646,3772,4198,5199,4708,51,199
743,"Richmond city, Virginia",45.4,47.8,223787,2.1,223787,100119,13377,11157,10003,14369,51,760
744,"Nelson County, Virginia",84.2,12.9,14812,0.4,14812,10117,628,728,887,706,51,125
745,"Pittsylvania County, Virginia",74.9,20.1,61676,0.4,61676,31664,2668,3703,3257,3613,51,143
746,"Norton city, Virginia",90.2,4.6,3990,3.4,3990,2040,316,234,281,128,51,720
747,"Fluvanna County, Virginia",80.7,13.5,26282,1.4,26282,10841,1163,1445,1698,1595,51,065
748,"Amelia County, Virginia",75.8,21.3,12854,0.0,12854,5543,744,795,696,973,51,007
749,"Winchester city, Virginia",80.4,10.0,27789,1.8,27789,11896,1868,1876,1520,2234,51,840
750,"Accomack County, Virginia",68.3,29.2,32742,0.2,32742,21251,1905,1973,1886,1702,51,001
751,"Floyd County, Virginia",95.7,1.9,15666,0.2,15666,8009,733,657,1138,960,51,063
752,"Grayson County, Virginia",92.5,4.6,15811,0.3,15811,9222,669,784,784,736,51,077
753,"Nottoway County, Virginia",56.8,40.7,15500,0.3,15500,6762,820,841,858,1046,51,135
754,"Harrison County, West Virginia",95.5,1.7,68209,0.6,68209,31649,3952,3917,4278,3913,54,033
755,"Ohio County, West Virginia",93.1,4.0,42547,0.7,42547,20965,2203,2097,2335,2943,54,069
756,"Calhoun County, West Virginia",99.2,0.0,7396,0.0,7396,3983,358,325,549,395,54,013
757,"Morgan County, West Virginia",96.9,0.7,17624,0.1,17624,9951,736,866,1042,1090,54,065
758,"Raleigh County, West Virginia",88.1,7.6,76232,0.9,76232,36181,4226,4083,4937,4110,54,081
759,"Braxton County, West Virginia",97.9,0.4,14282,0.0,14282,7433,738,893,710,839,54,007
760,"Barbour County, West Virginia",96.0,1.2,16730,0.6,16730,7905,875,837,1048,1303,54,001
761,"McDowell County, West Virginia",88.9,8.4,19217,0.0,19217,11193,1126,1097,1081,943,54,047
762,"Wayne County, West Virginia",97.8,0.5,40708,0.3,40708,19296,2166,2187,2687,2417,54,099
763,"Wyoming County, West Virginia",97.4,1.0,21711,0.2,21711,10896,1154,1172,1364,1287,54,109
764,"Jackson County, West Virginia",97.5,0.1,29018,0.3,29018,13399,1611,2062,1518,1711,54,035
765,"Mercer County, West Virginia",91.2,6.2,60486,0.6,60486,29986,3499,3919,2926,3485,54,055
766,"Upshur County, West Virginia",97.0,1.8,24605,0.2,24605,11342,1352,1451,1372,1962,54,097
767,"Webster County, West Virginia",99.7,0.0,8518,0.0,8518,5442,445,498,472,447,54,101
768,"Berkeley County, West Virginia",87.0,7.7,113495,1.0,113495,47891,7060,7553,7782,6790,54,003
769,"Fayette County, West Virginia",93.4,5.1,44126,0.1,44126,21570,2530,2698,2360,2457,54,019
770,"Grant County, West Virginia",97.2,1.6,11641,0.0,11641,6622,577,546,675,621,54,023
771,"Hampshire County, West Virginia",97.1,1.5,23363,0.3,23363,13979,1034,1407,1107,1454,54,027
772,"Summers County, West Virginia",93.2,4.3,13018,0.0,13018,7706,493,627,706,591,54,089
773,"Brooke County, West Virginia",96.4,1.7,22772,0.3,22772,10838,1018,1099,1185,1672,54,009
774,"Doddridge County, West Virginia",96.1,1.3,8536,0.3,8536,3920,326,479,290,562,54,017
775,"Greenbrier County, West Virginia",94.0,2.4,35347,0.7,35347,19252,1830,1714,2226,1810,54,025
776,"Hardy County, West Virginia",91.4,5.5,13842,1.6,13842,8253,767,888,663,822,54,031
777,"Marion County, West Virginia",93.7,3.6,56497,0.6,56497,26359,3296,3091,3047,3671,54,049
778,"Mineral County, West Virginia",94.9,3.5,27278,0.4,27278,13144,1397,1267,1881,1845,54,057
779,"Mingo County, West Virginia",95.8,2.6,24741,0.1,24741,12814,1514,1321,1724,1377,54,059
780,"Hancock County, West Virginia",95.1,1.9,29680,0.5,29680,14385,1454,1445,1757,1598,54,029
781,"Lewis County, West Virginia",97.5,0.3,16276,0.3,16276,7940,1067,783,1087,843,54,041
782,"Nicholas County, West Virginia",97.1,0.8,25324,0.3,25324,13147,1318,1358,1613,1265,54,067
783,"Pocahontas County, West Virginia",98.7,0.4,8531,0.0,8531,8909,403,349,469,387,54,075
784,"Tyler County, West Virginia",98.0,0.3,8909,0.5,8909,5008,462,477,503,496,54,095
785,"Randolph County, West Virginia",96.6,2.0,29065,0.6,29065,14251,1484,1784,1325,1726,54,083
786,"Taylor County, West Virginia",96.6,1.0,16951,0.9,16951,7550,931,794,1182,861,54,091
787,"Wirt County, West Virginia",98.2,1.4,5797,0.0,5797,3301,305,385,378,378,54,105
788,"Clay County, West Virginia",99.3,0.0,8785,0.0,8785,4621,501,492,654,540,54,015
789,"Gilmer County, West Virginia",82.8,11.0,8205,1.0,8205,3541,379,332,312,736,54,021
790,"Monongalia County, West Virginia",89.5,3.6,105252,3.6,105252,44931,5309,4758,4539,8699,54,061
791,"Monroe County, West Virginia",97.0,0.9,13467,0.0,13467,7643,616,697,860,657,54,063
792,"Wetzel County, West Virginia",97.4,1.0,15614,0.4,15614,8158,785,693,1103,946,54,103
793,"Cabell County, West Virginia",90.7,5.0,95318,1.4,95318,46362,5410,4832,5540,6496,54,011
794,"Kanawha County, West Virginia",88.5,7.2,185710,1.1,185710,92463,10090,11225,9746,10308,54,039
795,"Pendleton County, West Virginia",95.6,3.4,7056,0.1,7056,5208,320,323,393,293,54,071
796,"Preston County, West Virginia",92.5,4.7,33837,0.3,33837,15134,1755,2087,1601,1694,54,077
797,"Kitsap County, Washington",81.2,2.5,262475,4.8,262475,111801,15160,15349,14656,14876,53,035
798,"King County, Washington",64.9,6.3,2163257,17.1,2163257,917904,128652,130469,115475,117899,53,033
799,"Pend Oreille County, Washington",89.9,0.2,13219,1.0,13219,8214,609,652,790,861,53,051
800,"San Juan County, Washington",92.1,0.9,16473,1.4,16473,14030,474,662,660,696,53,055
801,"Whitman County, Washington",82.6,2.2,48593,8.4,48593,20624,2067,2068,2075,7578,53,075
802,"Yakima County, Washington",78.1,1.1,249325,0.9,249325,88226,20539,21176,20772,18840,53,077
803,"Cowlitz County, Washington",89.4,0.8,105112,1.2,105112,44419,6297,6304,7338,6441,53,015
804,"Ferry County, Washington",76.0,0.1,7576,1.0,7576,4503,326,366,399,430,53,019
805,"Lewis County, Washington",90.6,0.6,76947,1.2,76947,34952,4458,4314,4789,4716,53,041
806,"Grays Harbor County, Washington",88.0,1.0,71967,1.6,71967,36005,3999,4146,4175,4030,53,027
807,"Island County, Washington",84.7,3.2,81636,4.6,81636,41556,4617,3911,4243,3747,53,029
808,"Wahkiakum County, Washington",92.1,1.3,4189,1.6,4189,2147,140,172,220,244,53,069
809,"Franklin County, Washington",70.6,2.4,90660,2.3,90660,27571,8352,8344,8786,6967,53,021
810,"Grant County, Washington",70.4,0.7,94860,1.0,94860,36982,7726,7800,8276,7091,53,025
811,"Whatcom County, Washington",83.9,1.0,216812,4.1,216812,95567,11757,11952,11964,14894,53,073
812,"Okanogan County, Washington",73.1,0.5,41638,0.9,41638,23054,2608,2663,2737,2368,53,047
813,"Kittitas County, Washington",88.6,1.0,44825,1.7,44825,23393,2136,2355,2035,4123,53,037
814,"Benton County, Washington",81.5,1.6,194168,2.6,194168,75108,13957,15205,14222,13255,53,005
815,"Columbia County, Washington",91.2,0.7,4001,2.4,4001,2158,160,190,277,187,53,013
816,"Asotin County, Washington",92.8,0.4,22337,0.9,22337,10022,1136,1117,1617,1215,53,003
817,"Garfield County, Washington",91.7,0.0,2224,3.2,2224,1236,138,121,132,193,53,023
818,"Mason County, Washington",83.5,1.7,62627,1.4,62627,33319,3272,3506,3342,3226,53,045
819,"Stevens County, Washington",88.8,0.5,44214,0.6,44214,21606,2401,2481,2942,2740,53,065
820,"Spokane County, Washington",88.1,1.6,497875,2.2,497875,213692,30600,30600,31253,32101,53,063
821,"Chelan County, Washington",85.3,0.5,75757,1.1,75757,37311,4780,5552,4751,4546,53,007
822,"Rock County, Wisconsin",88.1,4.4,161769,1.2,161769,68875,9851,10969,10539,10789,55,105
823,"Waushara County, Wisconsin",93.0,1.8,24116,0.4,24116,15060,1157,1163,1364,1242,55,137
824,"Adams County, Wisconsin",92.9,2.8,20073,0.6,20073,17672,649,880,882,844,55,001
825,"Bayfield County, Wisconsin",86.1,0.8,14992,0.5,14992,13306,605,755,757,773,55,007
826,"Lafayette County, Wisconsin",97.1,0.6,16735,0.4,16735,7265,1090,1200,1092,1101,55,065
827,"Monroe County, Wisconsin",93.0,1.7,45502,0.9,45502,19848,3036,3286,3295,2930,55,081
828,"Pierce County, Wisconsin",96.0,0.5,41603,1.2,41603,16495,2015,2389,2825,3759,55,093
829,"Wood County, Wisconsin",94.2,0.6,73274,2.1,73274,34868,4128,4436,4594,4198,55,141
830,"Ashland County, Wisconsin",84.0,0.7,15712,0.4,15712,9657,859,970,1052,1148,55,003
831,"Calumet County, Wisconsin",94.6,0.8,49807,2.4,49807,20485,2778,3588,3563,3415,55,015
832,"Florence County, Wisconsin",98.6,0.3,4337,0.0,4337,4787,183,165,231,196,55,037
833,"Jefferson County, Wisconsin",93.9,0.9,84652,0.7,84652,35694,4356,4806,5705,6528,55,055
834,"Kenosha County, Wisconsin",85.6,7.5,168330,1.5,168330,70220,9883,10282,12101,12332,55,059
835,"Iron County, Wisconsin",96.6,0.8,5715,0.3,5715,6019,157,219,280,200,55,051
836,"Clark County, Wisconsin",96.3,0.5,34491,0.4,34491,15151,2840,2847,2764,2500,55,019
837,"St. Croix County, Wisconsin",95.8,0.8,87917,1.1,87917,35471,5481,6457,6551,5972,55,109
838,"Oconto County, Wisconsin",96.6,0.4,37556,0.4,37556,24120,1817,2150,2286,2083,55,083
839,"Lincoln County, Wisconsin",96.9,0.6,27848,0.3,27848,17089,1255,1317,1566,1713,55,069
840,"Waupaca County, Wisconsin",96.3,0.6,51444,0.3,51444,25717,2448,3054,3142,3060,55,135
841,"Barron County, Wisconsin",95.2,1.4,45252,0.7,45252,24001,2485,2787,2904,2552,55,005
842,"Sawyer County, Wisconsin",77.1,0.5,16370,0.6,16370,16338,790,890,991,819,55,113
843,"Green Lake County, Wisconsin",96.3,1.0,18757,0.3,18757,10700,1055,1216,1172,1199,55,047
844,"Marquette County, Wisconsin",96.0,0.6,15207,0.4,15207,9958,790,796,917,768,55,077
845,"Marinette County, Wisconsin",96.6,0.7,40537,0.5,40537,30719,1816,2089,2359,2354,55,075
846,"Racine County, Wisconsin",80.7,11.2,195398,1.3,195398,82611,12068,12459,13179,12667,55,101
847,"Winnebago County, Wisconsin",92.1,2.3,169926,2.7,169926,75203,9413,9557,10178,11404,55,139
848,"Forest County, Wisconsin",80.6,0.8,9018,0.5,9018,9149,534,474,487,529,55,041
849,"Grant County, Wisconsin",96.5,1.4,51828,1.0,51828,22051,2802,3042,3060,4872,55,043
850,"Rusk County, Wisconsin",96.2,1.0,14183,0.2,14183,9143,684,763,873,871,55,107
851,"Sheboygan County, Wisconsin",89.2,1.8,115205,5.6,115205,50939,6438,6985,7745,7483,55,117
852,"Langlade County, Wisconsin",95.5,0.8,19164,0.2,19164,12515,908,869,1207,1176,55,067
853,"Outagamie County, Wisconsin",89.8,1.4,184754,3.5,184754,76437,11694,12782,11981,12048,55,087
