,NAME,WHITE_POP,BLACK_POP,HISPANIC_POP,ASIAN_POP,TOTAL_POP,HOUSING_UNITS,POP_UNDER_5,POP_5_9,POP_10_14,POP_15_19,state,county
335,"Delaware County, New York",94.7,1.8,45502,0.8,45502,31565,1795,2192,2243,3563,36,025
336,"Essex County, New York",93.2,3.1,37751,0.4,37751,26183,1495,1870,1633,2068,36,031
337,"Montgomery County, New York",87.8,2.0,49426,0.8,49426,23493,3034,3238,3040,3000,36,057
338,"Nassau County, New York",68.6,11.7,1356564,9.3,1356564,471835,74241,81701,84014,89088,36,059
339,"Richmond County, New York",74.3,10.2,474101,8.7,474101,179871,27356,28745,29866,29314,36,085
340,"Schuyler County, New York",96.4,1.2,17992,0.6,17992,9736,915,922,978,1042,36,097
341,"Tompkins County, New York",80.5,4.1,102962,10.1,102962,43048,4254,4152,4219,12860,36,109
342,"Chenango County, New York",96.0,1.0,48348,0.4,48348,25448,2596,2639,2982,2930,36,017
343,"Cortland County, New York",94.8,1.5,48123,0.8,48123,20766,2527,2832,2412,4399,36,023
344,"Jefferson County, New York",86.1,6.0,114448,1.6,114448,59801,9078,7900,6749,6937,36,045
345,"Oneida County, New York",85.7,6.2,230782,4.0,230782,105102,13161,13707,13704,15093,36,065
346,"Suffolk County, New York",80.7,7.9,1487901,3.9,1487901,575162,80227,85048,95973,99916,36,103
347,"Wyoming County, New York",91.6,4.5,40565,0.4,40565,18156,2071,2176,2336,2320,36,121
348,"Chemung County, New York",88.0,6.1,85740,1.6,85740,38797,5075,4884,5453,5192,36,015
349,"Oswego County, New York",95.6,1.1,119104,0.7,119104,54409,6521,7073,7165,9240,36,075
350,"Otsego County, New York",93.4,2.1,60244,1.4,60244,31224,2552,2675,2771,5692,36,077
351,"Wayne County, New York",93.2,2.9,90856,0.7,90856,41637,4982,5304,5851,5575,36,117
352,"Albany County, New York",75.6,12.5,307426,6.5,307426,140830,15583,15061,16260,23483,36,001
353,"Broome County, New York",85.9,5.7,194402,4.2,194402,90830,10199,10544,10312,15288,36,007
354,"Erie County, New York",77.9,13.4,919866,3.5,919866,427147,50232,50843,53014,59078,36,029
355,"Madison County, New York",94.7,1.8,71359,0.9,71359,32209,3319,4183,3640,6378,36,053
356,"Sullivan County, New York",80.7,8.4,75211,1.6,75211,50457,4229,4274,4657,4698,36,105
357,"Genesee County, New York",91.9,2.2,58112,0.8,58112,25750,2980,3516,3265,3453,36,037
358,"Orange County, New York",74.0,10.8,378227,2.7,378227,142360,24852,26573,28230,28880,36,071
359,"Greene County, North Carolina",58.4,35.7,21008,0.1,21008,8316,1068,1235,1298,1269,37,079
360,"Mitchell County, North Carolina",96.4,0.4,15040,0.3,15040,8812,669,747,845,934,37,121
361,"Chowan County, North Carolina",60.6,34.1,14205,0.5,14205,7301,664,565,1029,930,37,041
362,"Caldwell County, North Carolina",89.2,4.9,81779,0.6,81779,37950,4137,4716,4848,4839,37,027
363,"Catawba County, North Carolina",79.0,8.1,156729,4.2,156729,68693,8880,9313,10754,10283,37,035
364,"Craven County, North Carolina",70.3,21.7,103082,2.8,103082,46911,6684,6445,5980,6304,37,049
365,"Edgecombe County, North Carolina",38.5,57.3,53332,0.1,53332,24945,3142,3015,3902,3320,37,065
366,"Harnett County, North Carolina",67.5,20.8,130361,1.1,130361,51230,9806,9966,9627,8943,37,085
367,"Henderson County, North Carolina",90.8,3.3,113625,1.3,113625,56939,5529,6173,6390,6051,37,089
368,"Hyde County, North Carolina",66.3,30.3,5393,0.0,5393,3249,280,397,262,371,37,095
369,"Mecklenburg County, North Carolina",54.5,31.3,1054314,5.8,1054314,435795,71440,72652,69029,66994,37,119
370,"Northampton County, North Carolina",40.0,56.5,20186,0.2,20186,11670,926,988,1074,1138,37,131
371,"Rowan County, North Carolina",77.4,16.0,139605,0.9,139605,61329,7875,8584,9374,9053,37,159
372,"Vance County, North Carolina",43.6,50.1,44482,0.6,44482,20117,2764,2597,3344,2839,37,181
373,"Currituck County, North Carolina",90.2,5.7,25796,0.4,25796,15557,1400,1933,1420,1523,37,053
374,"Union County, North Carolina",81.5,11.4,226694,2.7,226694,79644,13295,16861,20432,18856,37,179
375,"Forsyth County, North Carolina",66.2,26.1,371573,2.3,371573,163382,22739,24798,24398,26467,37,067
376,"Nash County, North Carolina",52.9,39.2,94003,1.0,94003,42876,5286,5809,6021,6354,37,127
377,"Bladen County, North Carolina",57.1,35.0,33778,0.1,33778,17877,1795,1908,2139,2213,37,017
378,"Dare County, North Carolina",92.6,2.2,35741,0.6,35741,34515,1677,1987,2105,1761,37,055
379,"Warren County, North Carolina",40.1,50.7,20033,0.4,20033,11948,857,1054,1044,1273,37,185
380,"Wilson County, North Carolina",51.1,39.5,81336,0.8,81336,36005,4825,5533,5283,5582,37,195
381,"Bertie County, North Carolina",34.8,61.1,19644,0.6,19644,9841,844,1035,1010,990,37,015
382,"Gates County, North Carolina",63.3,33.7,11563,0.5,11563,5336,476,717,738,711,37,073
383,"Graham County, North Carolina",87.8,0.2,8557,0.0,8557,6017,357,519,549,642,37,075
384,"Martin County, North Carolina",54.5,42.0,23054,0.6,23054,11608,1233,1259,1438,1375,37,117
385,"Madison County, North Carolina",95.6,1.7,21405,0.6,21405,10892,956,1001,1132,1601,37,115
386,"Pamlico County, North Carolina",76.1,18.2,12742,0.6,12742,7721,463,554,552,569,37,137
387,"Perquimans County, North Carolina",73.6,24.5,13459,0.3,13459,7136,612,694,832,760,37,143
388,"Polk County, North Carolina",90.4,5.2,20458,0.4,20458,11674,678,934,1143,1000,37,149
389,"Randolph County, North Carolina",84.4,6.3,142958,1.2,142958,62147,8098,8760,9985,9344,37,151
390,"Rockingham County, North Carolina",75.7,18.5,91270,0.6,91270,43977,4705,5181,5458,5331,37,157
391,"Stokes County, North Carolina",93.0,4.3,45905,0.4,45905,22186,2051,2369,2731,2783,37,169
392,"Washington County, North Carolina",46.6,47.3,12156,0.2,12156,6458,636,643,719,789,37,187
393,"Camden County, North Carolina",82.5,14.0,10447,1.8,10447,4228,492,681,882,618,37,029
394,"Clay County, North Carolina",96.8,2.1,10813,0.2,10813,7309,401,719,610,322,37,043
395,"Cumberland County, North Carolina",50.5,36.9,332106,2.5,332106,145839,25422,22919,21363,22889,37,051
396,"Gaston County, North Carolina",76.9,16.0,216585,1.6,216585,91779,12918,13657,14128,13698,37,071
397,"Guilford County, North Carolina",55.8,33.8,523582,4.9,523582,226743,31196,32003,34068,39073,37,081
398,"Jackson County, North Carolina",83.7,2.3,42256,0.7,42256,27073,1950,1889,2098,4083,37,099
399,"Moore County, North Carolina",82.6,12.7,95629,1.4,95629,46638,5363,6083,5514,5190,37,125
400,"Robeson County, North Carolina",28.6,24.0,133442,0.6,133442,53065,9037,10024,9038,10185,37,155
401,"Stanly County, North Carolina",84.0,11.2,61114,1.9,61114,27638,3439,3601,3870,3783,37,167
402,"Wake County, North Carolina",65.8,20.3,1046558,6.7,1046558,421426,66389,71826,74459,72327,37,183
403,"Yancey County, North Carolina",96.1,0.7,17667,0.2,17667,11211,826,825,1022,929,37,199
404,"Chatham County, North Carolina",80.5,11.6,69791,1.6,69791,31555,3453,4175,4198,3696,37,037
405,"McDowell County, North Carolina",91.1,3.6,45109,0.7,45109,21297,1972,3027,2581,2598,37,111
406,"Johnston County, North Carolina",77.5,15.6,191172,0.6,191172,73685,12317,13387,15437,12996,37,101
407,"Jones County, North Carolina",65.6,31.2,9695,0.2,9695,4958,433,560,521,563,37,103
408,"Person County, North Carolina",68.2,26.7,39305,0.4,39305,18428,2059,2279,2469,2425,37,145
409,"Brunswick County, North Carolina",83.7,10.3,126860,0.6,126860,86968,5305,5697,6070,5502,37,019
410,"Ashe County, North Carolina",95.1,0.7,26786,0.4,26786,17649,1174,1184,1611,1349,37,009
411,"Beaufort County, North Carolina",71.4,25.5,47243,0.1,47243,25930,2292,2590,3068,2812,37,013
412,"Lenoir County, North Carolina",55.0,39.4,57227,0.5,57227,27550,3278,3705,3606,3553,37,107
413,"Lincoln County, North Carolina",89.2,5.0,81441,0.7,81441,35227,4114,5129,5065,4912,37,109
414,"Onslow County, North Carolina",74.5,14.2,193912,2.1,193912,78501,17542,13048,10818,14777,37,133
415,"Orange County, North Carolina",74.5,11.6,142938,7.8,142938,57502,6593,8138,8593,13567,37,135
416,"Rutherford County, North Carolina",86.3,9.7,66532,0.4,66532,34275,3393,3750,3906,4588,37,161
417,"Sampson County, North Carolina",64.4,25.2,63561,0.6,63561,27610,4091,4417,4405,4198,37,163
